original_name,wikidata_id,aliases,relationships,brands,status,aliases_text,num_aliases,brands_text,num_brands,num_subsidiaries,num_parent_organizations,num_successors,num_predecessors,subsidiary_names,brand_names
Synergy Software,Q55948290,['Synergy Software'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Synergy Software,1,,0,0,0,0,0,,
SoftKey International,Q55948213,['Softkey International Inc.'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Softkey International Inc.,1,,0,0,0,0,0,,
Sharp Electronics,Q53227,"['Sharp', 'Sharp Electronics', 'Sharp corporation electronics', 'SHARP KABUSHIKI KAISHA (Sakai)', 'SHARP KABUSHIKI KAISHA', 'Sharp Corporation']","{'subsidiaries': ['Q7490345'], 'parent_organizations': ['Q463094'], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}","['Sharp Solar', 'Sakai Display Products']",found,Sharp|Sharp Electronics|Sharp corporation electronics|SHARP KABUSHIKI KAISHA (Sakai)|SHARP KABUSHIKI KAISHA|Sharp Corporation,6,Sharp Solar|Sakai Display Products,2,1,1,0,0,Sharp Solar,Sharp Solar|Sakai Display Products
Connectix,Q825991,"['Connectix Corporation', 'Connectix']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Connectix Corporation|Connectix,2,,0,0,0,0,0,,
MAGIX AG,Q19697831,"['Magix', 'Magix Software', 'MAGIX AG', 'MAGIX Software GmbH']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Magix|Magix Software|MAGIX AG|MAGIX Software GmbH,4,,0,0,0,0,0,,
Adtran,Q4651203,['Adtran'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Adtran,1,,0,0,0,0,0,,
AOC,Q643271,"['AOC', 'Admiral Overseas Corporation', 'AOC International']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,AOC|Admiral Overseas Corporation|AOC International,3,,0,0,0,0,0,,
Sierra Wireless,Q13529476,['Sierra Wireless'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Sierra Wireless,1,,0,0,0,0,0,,
StorageTek,Q1778063,['Storage Technology Corporation'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Storage Technology Corporation,1,,0,0,0,0,0,,
General Electric Company,Q54173,"['GE', 'General Electric Company', 'General Electric Co.', 'General Electric']","{'subsidiaries': ['Q634056', 'Q18071191', 'Q17037530', 'Q2646219', 'Q31830', 'Q5513291', 'Q28970995', 'Q28970996', 'Q28970997', 'Q28970998', 'Q28970999', 'Q7429887', 'Q5513284', 'Q33527896', 'Q1152374', 'Q13974', 'Q58035402', 'Q30274046', 'Q28726647', 'Q1485061', 'Q28974077', 'Q109930208', 'Q5513251'], 'parent_organizations': [], 'successors': ['Q1485061', 'Q1152374', 'Q118957699'], 'predecessors': [], 'replaces': [], 'replaced_by': []}","['Allendale Square', ""America's Talking"", 'Dowty Rotol', 'GE Oil and Gas', 'National Broadcasting Company', 'GE Transportation', 'GE Wind Energy', 'Baker Hughes', 'GE Capital', 'GE HealthCare', 'GE Capital Aviation Services', 'GE Aerospace', 'GE Water', 'TMBThanachart Bank PCL.', 'British Broadcasting Company Limited', 'Trump International Hotel and Tower', 'Wabtec', 'Tungsram']",found,GE|General Electric Company|General Electric Co.|General Electric,4,Allendale Square|America's Talking|Dowty Rotol|GE Oil and Gas|National Broadcasting Company|GE Transportation|GE Wind Energy|Baker Hughes|GE Capital|GE HealthCare|GE Capital Aviation Services|GE Aerospace|GE Water|TMBThanachart Bank PCL.|British Broadcasting Company Limited|Trump International Hotel and Tower|Wabtec|Tungsram,18,23,0,3,0,GE Wind Energy|SABIC Innovative Plastics|GE Industrial|GE Consumer & Industrial|GE Energy|GE Lighting|GE Italia Holding|General Electric (Austria)|General Electric (Switzerland)|General Electric (Israel)|General Electric (Argentina)|ScanWind|GE Global Research|GE Global Research (Germany)|GE HealthCare|NBC|Radio Corporation of America|General Electric (New Zealand)|GE Aviation Czech|GE Aerospace|GE Power|General Electric Spain|GE Aerospace,Allendale Square|America's Talking|Dowty Rotol|GE Oil and Gas|National Broadcasting Company|GE Transportation|GE Wind Energy|Baker Hughes|GE Capital|GE HealthCare|GE Capital Aviation Services|GE Aerospace|GE Water|TMBThanachart Bank PCL.|British Broadcasting Company Limited|Trump International Hotel and Tower|Wabtec|Tungsram
Coby Electronics Corporation,Q5139048,"['Coby', 'Coby Electronics Corporation, USA', 'Coby Electronics Corporation']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"Coby|Coby Electronics Corporation, USA|Coby Electronics Corporation",3,,0,0,0,0,0,,
Tops,Q967321,"['Topsoe A/S', 'Haldor Topsøe', 'Хальдор Топсе', 'Халдор Топсе', 'Topsoe']","{'subsidiaries': ['Q30285401'], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Topsoe A/S|Haldor Topsøe|Хальдор Топсе|Халдор Топсе|Topsoe,5,,0,1,0,0,0,Topsoe Fuel Cell (Denmark),
SkillSoft,Q20136005,"['SmartForce', 'Skillsoft']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}","['Mindleaders', 'Sumtotal Systems']",found,SmartForce|Skillsoft,2,Mindleaders|Sumtotal Systems,2,0,0,0,0,,Mindleaders|Sumtotal Systems
3Dconnexion,Q229377,['3Dconnexion'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,3Dconnexion,1,,0,0,0,0,0,,
Molex,Q1943468,"['Molex Incorporated', 'Molex']","{'subsidiaries': ['Q7917867'], 'parent_organizations': ['Q1496384'], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,Molex Incorporated|Molex,2,,0,1,1,0,0,Vectura Group,
3Dlabs,Q229401,['3Dlabs'],"{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,3Dlabs,1,,0,0,0,0,0,,
"Datel, Inc",Q119660367,"['DATEL, Inc.']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"DATEL, Inc.",1,,0,0,0,0,0,,
Anixter,Q4765682,"['Anixter International', 'Anixter International, Inc.', 'Anixter']","{'subsidiaries': [], 'parent_organizations': [], 'successors': [], 'predecessors': [], 'replaces': [], 'replaced_by': []}",[],found,"Anixter International|Anixter International, Inc.|Anixter",3,,0,0,0,0,0,,
